position,driverNumber,driverId,constructorId,engineManufacturerId,tyreManufacturerId,time,gap,interval,laps,year,race,q1,q2,q3
8,32,michael-schumacher,jordan,ford,goodyear,1:51.212,+3.401,+0.672,,1991,belgium,,,
7,19,michael-schumacher,benetton,ford,pirelli,1:22.471,+1.357,+0.581,,1991,italy,,,
10,19,michael-schumacher,benetton,ford,pirelli,1:15.578,+2.577,+0.097,,1991,portugal,,,
5,19,michael-schumacher,benetton,ford,pirelli,1:19.733,+0.982,+0.090,,1991,spain,,,
9,19,michael-schumacher,benetton,ford,pirelli,1:38.363,+3.663,+0.115,,1991,japan,,,
6,19,michael-schumacher,benetton,ford,pirelli,1:15.508,+1.467,+0.217,,1991,australia,,,
6,19,michael-schumacher,benetton,ford,goodyear,1:17.635,+2.149,+0.427,,1992,south-africa,,,
3,19,michael-schumacher,benetton,ford,goodyear,1:17.292,+0.946,+0.930,,1992,mexico,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:18.541,+2.838,+0.125,,1992,brazil,,,
2,19,michael-schumacher,benetton,ford,goodyear,1:21.195,+1.005,+1.005,,1992,spain,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:23.701,+1.859,+0.283,,1992,san-marino,,,
6,19,michael-schumacher,benetton,ford,goodyear,1:21.831,+2.336,+0.607,,1992,monaco,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:20.456,+0.681,+0.311,,1992,canada,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:15.569,+1.705,+0.253,,1992,france,,,
4,19,michael-schumacher,benetton,ford,goodyear,1:22.066,+3.101,+0.360,,1992,great-britain,,,
6,19,michael-schumacher,benetton,ford,goodyear,1:41.132,+3.172,+0.173,,1992,germany,,,
4,19,michael-schumacher,benetton,ford,goodyear,1:16.524,+1.048,+0.257,,1992,hungary,,,
3,19,michael-schumacher,benetton,ford,goodyear,1:53.221,+2.676,+0.478,,1992,belgium,,,
6,19,michael-schumacher,benetton,ford,goodyear,1:23.629,+1.408,+0.517,,1992,italy,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:15.356,+2.315,+0.288,,1992,portugal,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:40.922,+3.562,+0.626,,1992,japan,,,
5,19,michael-schumacher,benetton,ford,goodyear,1:15.210,+1.478,+0.096,,1992,australia,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:17.261,+1.565,+1.477,,1993,south-africa,,,
4,5,michael-schumacher,benetton,ford,goodyear,1:17.821,+1.955,+0.124,,1993,brazil,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:12.008,+1.550,+1.246,,1993,europe,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:23.919,+1.849,+1.751,,1993,san-marino,,,
4,5,michael-schumacher,benetton,ford,goodyear,1:20.520,+2.711,+0.798,,1993,spain,,,
2,5,michael-schumacher,benetton,ford,goodyear,1:21.190,+0.633,+0.633,,1993,monaco,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:20.808,+1.821,+1.317,,1993,canada,,,
7,5,michael-schumacher,benetton,ford,goodyear,1:16.720,+2.338,+0.058,,1993,france,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:20.401,+1.395,+1.267,,1993,great-britain,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:39.580,+0.832,+0.675,,1993,germany,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:15.228,+0.597,+0.393,,1993,hungary,,,
3,5,michael-schumacher,benetton,ford,goodyear,1:49.075,+1.504,+0.609,,1993,belgium,,,
5,5,michael-schumacher,benetton,ford,goodyear,1:22.910,+1.731,+0.277,,1993,italy,,,
6,5,michael-schumacher,benetton,ford,goodyear,1:13.403,+1.909,+0.302,,1993,portugal,,,
4,5,michael-schumacher,benetton,ford,goodyear,1:37.530,+0.376,+0.204,,1993,japan,,,
4,5,michael-schumacher,benetton,ford,goodyear,1:14.098,+0.727,+0.272,,1993,australia,,,
2,5,michael-schumacher,benetton,ford,goodyear,1:16.290,+0.328,+0.328,20.0,1994,brazil,,,
2,5,michael-schumacher,benetton,ford,goodyear,1:10.440,+0.222,+0.222,18.0,1994,pacific,,,
2,5,michael-schumacher,benetton,ford,goodyear,1:21.885,+0.337,+0.337,10.0,1994,san-marino,,,
